hit_sum,gti,unique_id,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,CDRscale,CDRscaleE,chr,DR_ts,DS_neta,e,emp_tx_p,fadult,fchild,felderly,n,nelderly,omega,padult,pchild,pelderly,radult,rchild,relderly,uiscaleA,uiscaleC,uiscaleE,vadult,vchild,velderly,x,xi_init
26,401,b187b8f86cc68042e20817ac44eb6cc2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.940096402608488,0.159846375068771,0.15334721211577,0.759424109833779,0.412859412082471,0.705425008332358,0.0702294263313526,0.737950303461402,0.0361302212420846,0.651544185212476,0.211576721628196,0.195647388881002,0.00792639185471894,0.152105931571312,0.0217752428539103,0.303751948484219,0.0174206334852616,0.0337351345120935,0.0189187343590809,-0.977854378951141,-0.919444255427077,-0.975408233297804,0.000101681837158791,0.000161031294579039,0.00271526538366598,0.302363033269718,0.0114230869433289
26,365,29c20b3dd64a6c645268a3515aeaf714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.934234751772635,0.271289794551563,0.139324738548605,0.731072372898923,0.402828605328687,0.657246930381284,0.170999575818423,0.746352095708716,0.0628305804154366,0.66158519191764,0.216946836193557,0.187317735731997,0.00748644912006301,0.164999193715304,0.0206700584176002,0.254776736368239,0.0129034784337507,0.0343515242746106,0.0194871985849841,-0.986445969638178,-0.939926837225289,-0.96956219811151,0.000114825133947238,0.000178683528002704,0.00264637848568248,0.295216146301105,0.0118744408462481
26,231,a576b7e1caaaf6bab2158d8bdfb47488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93460390337952,0.318133283614023,0.154347073191313,0.790654351937117,0.335057595735416,0.62773130265996,0.0252570205298254,0.748179625591728,0.0377336190124038,0.657215104520169,0.217311213042819,0.178099878242402,0.00714187071655379,0.170804528098367,0.028160671024351,0.298294399300962,0.0178586470600219,0.0326728785438469,0.0191837614970198,-0.982348942281608,-0.936161099529241,-0.962506591645015,0.000123249964044943,0.000178688107906262,0.00390130328214407,0.313273280636593,0.0119840053041005
26,275,4346cdc9d9f08e87f58ce3263995c9c2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.912285279445952,0.201783618944278,0.151775330028033,0.815543755886609,0.404477979512886,0.696951395651326,0.0277475322480316,0.743592806949745,0.0164944734368469,0.652468862647039,0.216336140929953,0.19045459504465,0.00715923197318768,0.148933743042498,0.0225472799695568,0.25094841208104,0.015361417446472,0.0324832087124704,0.0169218650417319,-0.981022343747414,-0.950386371377363,-0.948798278084464,0.00012456598056811,0.000185195532586778,0.0036577318841741,0.30757351517044,0.011332701571207
26,653,4cef672a3061219a73cf49d711b27ad2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.924084490939775,0.284844559047315,0.141130350565074,0.789110115815418,0.392886839611456,0.674942139944063,0.0376686119078661,0.735262865496333,0.0450362502203784,0.672281260302884,0.218117458638967,0.186712431633774,0.00736788663384939,0.155676556934043,0.0229382779835729,0.251578438657708,0.0165174096379431,0.0336314610598615,0.0181873156696474,-0.983578513280072,-0.938652362967816,-0.961082310067938,0.000123105718864641,0.000164587685018199,0.00331377116498311,0.302978449657932,0.0118636054602736
26,413,8a60bfce0c22396756279f4c74977404,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.925808767732602,0.153010484004021,0.166803030699959,0.776771296511868,0.382777696573176,0.689481016566978,0.031261359935161,0.734478819009381,0.0317926080445754,0.686250979178621,0.214073327986756,0.193769320203386,0.00707235082173689,0.161817654420249,0.0211102883976424,0.267070293164811,0.0157089064161295,0.0386796583755879,0.0166920197375966,-0.983004609065459,-0.926073142951329,-0.953993089626153,0.000126494679040789,0.00016608491458686,0.00335521614473086,0.303507193842902,0.0118513341399147
26,249,26bf19437ae1bc8168d85e0c49d16048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.933001734056041,0.196025431783805,0.144443393547555,0.769528885299804,0.375406330795959,0.675830703727902,0.0586249293875883,0.742058464828878,0.0376534660239699,0.672051827716303,0.206163168360944,0.189530016057821,0.00769240741248676,0.163639114843867,0.0224329036294954,0.237956711458042,0.0149768969603816,0.0360575056485838,0.0160974665991878,-0.983026450828149,-0.937209954726838,-0.943330741150445,0.000111597581300466,0.000162752612804415,0.00373438409734943,0.308529035469517,0.0113933258083188
26,149,ca758bdae46af4f9633c9e2bcf1fa085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.927801440300197,0.307532745229903,0.146127132687254,0.781006616894153,0.387154150845017,0.660310433217325,0.122000662470236,0.742734729640651,0.0402267477043201,0.658557427736966,0.228586266076774,0.176213685761367,0.00851205603474021,0.16397551687127,0.020162965220982,0.256260680882912,0.0144041066223292,0.0397891439651145,0.0168582945797509,-0.98851014690908,-0.952302468418597,-0.967902635440488,0.000122905237418182,0.000165608565296866,0.00347997939696728,0.317464339461178,0.0111559869643328
26,77,3819fd5c9a240964ddd35cb8a43b7f68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92264030247422,0.0751701085469259,0.139246416769458,0.779004476240368,0.387395581707824,0.70065067273751,0.0715366869256835,0.725309230735292,0.0417754368010205,0.602735625975427,0.22726195461594,0.193688335414091,0.00829027281041226,0.166760804323014,0.019683496409795,0.280620719227101,0.0139151698438453,0.0416307770226157,0.0210395209883256,-0.986477729404177,-0.935142816141528,-0.968282344262038,0.000149940347433604,0.0001812055473103,0.00290628281234467,0.345166876514256,0.0116175392710189
26,20,c4b3eeaea06c174b5c0ece4005fae9a1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.930344982986111,0.152641922200062,0.146169493056371,0.761473457238169,0.328999578771181,0.718444331306965,0.062266550827772,0.738093750053085,0.0506329228678945,0.685472299486994,0.213416246026638,0.203703682739682,0.0106429416751719,0.191352444167807,0.0225484455947305,0.243050899189896,0.0152318405796776,0.0432373723282019,0.0182627708138347,-0.977028539025117,-0.933315616528366,-0.936078677630705,0.000135201382170479,0.000165432581707257,0.00402599486721056,0.302473903403804,0.0117218480068799
