Name,,,,,5c6d1b1546deca088ccf6dcb43e9dd28,,,5c6d1b1546deca088ccf6dcb43e9dd28,,,,,,,,,,,,,,,,,,,,,3d4dd4f5152ee93de7fca118fe7ee3f2,3d4dd4f5152ee93de7fca118fe7ee3f2,ee06a33ef1851f062570d0f6997776a5,,,,,,,,,,,Value,1b49f1d3066af07064994b4772b39986,,Original,Quarterly,ManFit,,Manfit3,MCMC_15,cdr15-manfit,cdr15-manfit-19,,,,2pf,NT,/,a49d81219270ed10ff14ccf5a60f7e46,20pf,/,Begin,MDRFIT
n,0.211939942162833,0.191179624041147,0.194613471677597,0.194613471677597,0.183843691114523,0.195527274454688,0.183843691114523,0.183843691114523,0.193126536475681,0.192879144837358,0.195527274454688,0.192879144837358,0.192650792240026,0.192650792240026,0.193126536475681,0.193126536475681,0.192879144837358,0.192879144837358,0.191205669502704,0.191348580868658,0.19164020142795,0.19164020142795,0.190559927498665,0.190636028551473,0.190636028551473,0.190032086119963,0.190032086119963,0.185493533851089,0.180385507463546,0.10127147216117,0.129472617071588,0.180385507463546,0.179045805177254,0.173376671628163,0.174718962471069,0.173376671628163,0.173249349462169,0.173249349462169,0.173249349462169,0.1757424328726,0.1757424328726,0.179504458249174,0.179692424506787,,0.005674086,0.005686199336977,0.005674086,0.005674086,0.005674086,0.011085835362365,0.010282296716003,0.010282296716003,0.010262715514517,0.010282296716003,0.010256512124325,0.010207069140054,0.010147827468408,,,,,,
nelderly,0.187456238649947,0.167584118336813,0.145332784017921,0.145332784017921,0.15364149333376,0.14542387832324,0.15364149333376,0.15364149333376,0.153136386984517,0.153137729611667,0.14542387832324,0.153137729611667,0.153848481945531,0.153848481945531,0.153136386984517,0.153136386984517,0.153137729611667,0.153137729611667,0.150656946469518,0.153130417608843,0.151420021479205,0.151420021479205,0.152119391936995,0.150845901210979,0.150845901210979,0.150685445598979,0.150685445598979,0.138868007354625,0.152484360425827,0.101018290891958,0.102163233799403,0.152484360425827,0.153278675607965,0.159413719602256,0.158761273821211,0.159413719602256,0.158934628893715,0.158934628893715,0.158934628893715,0.160381522020652,0.160381522020652,0.162837301946898,0.15673053735369,,0.010837482,0.010881806663675,0.010837482,0.010837482,0.05,0.024484516695957,0.009936663710047,0.009936663710047,0.008934380293638,0.009936663710047,0.010986966788734,0.009458475330346,0.008028234368865,,,,,,
omega,0.007216509371987,0.015093530936213,0.015493917430286,0.015493917430286,0.015317519464342,0.014847589445063,0.015317519464342,0.015317519464342,0.014901320619223,0.014962101136087,0.014847589445063,0.014962101136087,0.014949911114479,0.014949911114479,0.014901320619223,0.014901320619223,0.014962101136087,0.014962101136087,0.014751933523602,0.014835892816995,0.015148843895569,0.015148843895569,0.015192196623345,0.015094546583315,0.015094546583315,0.015193299971378,0.015193299971378,0.011852946454321,0.012152869541607,0.018471524905646,0.019896334310994,0.012152869541607,0.012258624192578,0.010233751659886,0.010202186066987,0.010233751659886,0.010328960272427,0.010328960272427,0.010328960272427,0.010320961287366,0.010320961287366,0.010028509286794,0.009473727694624,,0.152733472,0.152733472,0.001,0.5,0.152733472,-0.986401151202934,-0.985,-0.985,-0.981995838664095,-0.985,-0.98,-0.989072028182023,-0.978914219479422,,,,,,
padult,0.190353631141782,0.162530674034496,0.171299090410536,0.171299090410536,0.158098543674639,0.158006562162665,0.158098543674639,0.158098543674639,0.171224281714624,0.170654352563722,0.158006562162665,0.170654352563722,0.171027758388212,0.171027758388212,0.171224281714624,0.171224281714624,0.170654352563722,0.170654352563722,0.168921695681764,0.169925728999554,0.169738447354837,0.169738447354837,0.170005024306951,0.17017833545954,0.17017833545954,0.169715442548516,0.169715442548516,0.136059382673549,0.144679439703367,0.178042540755123,0.113714950317517,0.144679439703367,0.145279271298639,0.155027597643241,0.154700865034937,0.155027597643241,0.155765765496708,0.155765765496708,0.155765765496708,0.157002874558039,0.157002874558039,0.154728769168213,0.153307828524701,,1.099815877,1.099815877,1.3,2,1.099815877,-0.412384559542928,-0.95,-0.95,-0.934871849057614,-0.95,-0.934422083054073,-0.950099282926842,-0.924703326506098,,,,,,
pchild,0.024357309535147,0.019463180638637,0.017390044116668,0.017390044116668,0.023216430210645,0.020633108570074,0.023216430210645,0.023216430210645,0.01652747329408,0.016450116738045,0.020633108570074,0.016450116738045,0.016657685230925,0.016657685230925,0.01652747329408,0.01652747329408,0.016450116738045,0.016450116738045,0.01676195149596,0.016837195676818,0.016405705372521,0.016405705372521,0.016657826883087,0.016303815902394,0.016303815902394,0.01584431877867,0.01584431877867,0.016169031519859,0.015951550249078,0.01900558315916,0.025180673229042,0.015951550249078,0.016050858448793,0.018948346037718,0.01856167017652,0.018948346037718,0.018681044888052,0.018681044888052,0.018681044888052,0.018303971591241,0.018303971591241,0.017324633016831,0.019272171300764,,0.727229626,0.727229626,0.3,0.3,0.727229626,-0.467521043403726,-0.9775,-0.9775,-0.973319701705286,-0.9775,-0.97,-0.948296720870539,-0.962824881536802,,,,,,
pelderly,0.329909529831818,0.25962145820808,0.222391381666701,0.222391381666701,0.250332761609446,0.23406285796,0.250332761609446,0.250332761609446,0.239937305139083,0.239593602353915,0.23406285796,0.239593602353915,0.24020293830166,0.24020293830166,0.239937305139083,0.239937305139083,0.239593602353915,0.239593602353915,0.243297400457154,0.241982590541265,0.241648631326875,0.241648631326875,0.241810384796954,0.239689274361192,0.239689274361192,0.2389211147506,0.2389211147506,0.28564317847157,0.285635700004996,0.358181144768181,0.166019721946607,0.285635700004996,0.287271478683763,0.32847396073293,0.327975955638737,0.32847396073293,0.327184497578145,0.327184497578145,0.327184497578145,0.3189014015558,0.3189014015558,0.34581064814644,0.342503055213373,,0.000222731,0.000222749605829,0.000222731,0.000222731,0.000222731,0.000278073906416,0.000277079882566,0.000277079882566,0.000277605442494,0.000277079882566,0.000277291804646,0.000274938711772,0.000272496056495,,,,,,
radult,0.012482236717549,0.018191005502724,0.014053117301212,0.014053117301212,0.016787241971948,0.014788177780973,0.016787241971948,0.016787241971948,0.017005761196733,0.016935633917319,0.014788177780973,0.016935633917319,0.017054304844559,0.017054304844559,0.017005761196733,0.017005761196733,0.016935633917319,0.016935633917319,0.017733888951017,0.017258711855186,0.017720261614284,0.017720261614284,0.017833990332976,0.017368787960781,0.017368787960781,0.016808088159448,0.016808088159448,0.017453331825397,0.018772646403871,0.023643639506772,0.025034137158655,0.018772646403871,0.019181564408168,0.016074771591276,0.016421446958929,0.016074771591276,0.015947094651032,0.015947094651032,0.015947094651032,0.013898783692624,0.013898783692624,0.011,0.011,,0.002560163,0.00256262459016,0.002560163,0.002560163,0.003,0.005513220369502,0.004267467492203,0.004267467492203,0.003895809398446,0.004267467492203,0.004013661432847,0.004124846653469,0.004351379545079,,,,,,
rchild,0.046123581800657,0.037785770035405,0.032379706825372,0.032379706825372,0.030202452088809,0.025880099243047,0.030202452088809,0.030202452088809,0.025788698608531,0.02593875142497,0.025880099243047,0.02593875142497,0.026060710196812,0.026060710196812,0.025788698608531,0.025788698608531,0.02593875142497,0.02593875142497,0.026804321830655,0.027033560519414,0.026125381859374,0.026125381859374,0.025740055459161,0.02582992584331,0.02582992584331,0.026256531839799,0.026256531839799,0.019939413935486,0.019555597734452,0.042212943178602,0.066704371878877,0.019555597734452,0.019023859403749,0.010292673310918,0.010094404848294,0.010292673310918,0.010284044479673,0.010284044479673,0.010284044479673,0.011148034885992,0.011148034885992,0.011,0.011,,0.274474501,0.274474501,0.274474501,0.274474501,0.274474501,0.259759626203776,0.254092603939772,0.254092603939772,0.253850298908353,0.254092603939772,0.253578750139848,0.250029683540816,0.250202246969248,,,,,,
relderly,0.013551405201146,0.023082638805761,0.01960311815071,0.01960311815071,0.020799444898992,0.018243341427046,0.020799444898992,0.020799444898992,0.021129948132142,0.021068802432093,0.018243341427046,0.021068802432093,0.021185918009189,0.021185918009189,0.021129948132142,0.021129948132142,0.021068802432093,0.021068802432093,0.020942099095863,0.021006627294496,0.020902973205997,0.020902973205997,0.020991568944771,0.021573529719683,0.021573529719683,0.021386804335779,0.021386804335779,0.020682189407228,0.013503597945479,0.039159794359937,0.056851377182987,0.013503597945479,0.014002111909577,0.010693026693204,0.011128551527524,0.010693026693204,0.010779736399689,0.010779736399689,0.010779736399689,0.011004489248936,0.011004489248936,0.011,0.011,,0.001,0.0010003752189,0.001,0.001,0.001,0.009212544201229,0.010233715966454,0.010233715966454,0.010265299043654,0.010233715966454,0.010325339785137,0.010298365807964,0.012,,,,,,
uiscaleA,-0.97829197801429,-0.978592645178363,-0.981349809505697,-0.981349809505697,-0.985844077623021,-0.985774027079371,-0.985844077623021,-0.985844077623021,-0.98269777920138,-0.983105183677123,-0.985774027079371,-0.983105183677123,-0.983984043673594,-0.983984043673594,-0.98269777920138,-0.98269777920138,-0.983105183677123,-0.983105183677123,-0.976623665196122,-0.972952970385658,-0.972961127149024,-0.972961127149024,-0.979760081820627,-0.970155099343014,-0.970155099343014,-0.975303562635043,-0.975303562635043,-0.988054805555709,-0.980455212791559,-0.705439345029183,-0.895621145599522,-0.980455212791559,-0.980203317607057,-0.986752649552461,-0.986362731596082,-0.986752649552461,-0.988087108187326,-0.988087108187326,-0.988087108187326,-0.984327566757458,-0.984327566757458,-0.978914219479422,-0.984050280306234,,,,,,,,,,,,,,,,,,,,
