Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2079,85.21,84.47,80.52,80.52,80.52,80.52,75.55,75.55,75.55,75.55,75.55,70.58,70.58,70.58,70.58,70.58,65.62,65.62,65.62,65.62,65.62,60.68,60.68,60.68,60.68,60.68,55.75,55.75,55.75,55.75,55.75,50.84,50.84,50.84,50.84,50.84,45.94,45.94,45.94,45.94,45.94,41.08,41.08,41.08,41.08,41.08,36.27,36.27,36.27,36.27,36.27,31.54,31.54,31.54,31.54,31.54,26.87,26.87,26.87,26.87,26.87,22.37,22.37,22.37,22.37,22.37,18.12,18.12,18.12,18.12,18.12,14.25,14.25,14.25,14.25,14.25,10.84,10.84,10.84,10.84,10.84,7.96,7.96,7.96,7.96,7.96,5.75,5.75,5.75,5.75,5.75,4.13,4.13,4.13,4.13,4.13,3,3,3,3
2080,85.79,85.03,81.08,81.08,81.08,81.08,76.11,76.11,76.11,76.11,76.11,71.13,71.13,71.13,71.13,71.13,66.17,66.17,66.17,66.17,66.17,61.23,61.23,61.23,61.23,61.23,56.29,56.29,56.29,56.29,56.29,51.38,51.38,51.38,51.38,51.38,46.47,46.47,46.47,46.47,46.47,41.6,41.6,41.6,41.6,41.6,36.78,36.78,36.78,36.78,36.78,32.03,32.03,32.03,32.03,32.03,27.35,27.35,27.35,27.35,27.35,22.82,22.82,22.82,22.82,22.82,18.53,18.53,18.53,18.53,18.53,14.6,14.6,14.6,14.6,14.6,11.13,11.13,11.13,11.13,11.13,8.18,8.18,8.18,8.18,8.18,5.9,5.9,5.9,5.9,5.9,4.22,4.22,4.22,4.22,4.22,3.04,3.04,3.04,3.04
2081,85.79,85.03,81.08,81.08,81.08,81.08,76.11,76.11,76.11,76.11,76.11,71.13,71.13,71.13,71.13,71.13,66.17,66.17,66.17,66.17,66.17,61.23,61.23,61.23,61.23,61.23,56.29,56.29,56.29,56.29,56.29,51.38,51.38,51.38,51.38,51.38,46.47,46.47,46.47,46.47,46.47,41.6,41.6,41.6,41.6,41.6,36.78,36.78,36.78,36.78,36.78,32.03,32.03,32.03,32.03,32.03,27.35,27.35,27.35,27.35,27.35,22.82,22.82,22.82,22.82,22.82,18.53,18.53,18.53,18.53,18.53,14.6,14.6,14.6,14.6,14.6,11.13,11.13,11.13,11.13,11.13,8.18,8.18,8.18,8.18,8.18,5.9,5.9,5.9,5.9,5.9,4.22,4.22,4.22,4.22,4.22,3.04,3.04,3.04,3.04
2082,85.79,85.03,81.08,81.08,81.08,81.08,76.11,76.11,76.11,76.11,76.11,71.13,71.13,71.13,71.13,71.13,66.17,66.17,66.17,66.17,66.17,61.23,61.23,61.23,61.23,61.23,56.29,56.29,56.29,56.29,56.29,51.38,51.38,51.38,51.38,51.38,46.47,46.47,46.47,46.47,46.47,41.6,41.6,41.6,41.6,41.6,36.78,36.78,36.78,36.78,36.78,32.03,32.03,32.03,32.03,32.03,27.35,27.35,27.35,27.35,27.35,22.82,22.82,22.82,22.82,22.82,18.53,18.53,18.53,18.53,18.53,14.6,14.6,14.6,14.6,14.6,11.13,11.13,11.13,11.13,11.13,8.18,8.18,8.18,8.18,8.18,5.9,5.9,5.9,5.9,5.9,4.22,4.22,4.22,4.22,4.22,3.04,3.04,3.04,3.04
2083,85.79,85.03,81.08,81.08,81.08,81.08,76.11,76.11,76.11,76.11,76.11,71.13,71.13,71.13,71.13,71.13,66.17,66.17,66.17,66.17,66.17,61.23,61.23,61.23,61.23,61.23,56.29,56.29,56.29,56.29,56.29,51.38,51.38,51.38,51.38,51.38,46.47,46.47,46.47,46.47,46.47,41.6,41.6,41.6,41.6,41.6,36.78,36.78,36.78,36.78,36.78,32.03,32.03,32.03,32.03,32.03,27.35,27.35,27.35,27.35,27.35,22.82,22.82,22.82,22.82,22.82,18.53,18.53,18.53,18.53,18.53,14.6,14.6,14.6,14.6,14.6,11.13,11.13,11.13,11.13,11.13,8.18,8.18,8.18,8.18,8.18,5.9,5.9,5.9,5.9,5.9,4.22,4.22,4.22,4.22,4.22,3.04,3.04,3.04,3.04
2084,85.79,85.03,81.08,81.08,81.08,81.08,76.11,76.11,76.11,76.11,76.11,71.13,71.13,71.13,71.13,71.13,66.17,66.17,66.17,66.17,66.17,61.23,61.23,61.23,61.23,61.23,56.29,56.29,56.29,56.29,56.29,51.38,51.38,51.38,51.38,51.38,46.47,46.47,46.47,46.47,46.47,41.6,41.6,41.6,41.6,41.6,36.78,36.78,36.78,36.78,36.78,32.03,32.03,32.03,32.03,32.03,27.35,27.35,27.35,27.35,27.35,22.82,22.82,22.82,22.82,22.82,18.53,18.53,18.53,18.53,18.53,14.6,14.6,14.6,14.6,14.6,11.13,11.13,11.13,11.13,11.13,8.18,8.18,8.18,8.18,8.18,5.9,5.9,5.9,5.9,5.9,4.22,4.22,4.22,4.22,4.22,3.04,3.04,3.04,3.04
2085,86.33,85.56,81.6,81.6,81.6,81.6,76.63,76.63,76.63,76.63,76.63,71.65,71.65,71.65,71.65,71.65,66.69,66.69,66.69,66.69,66.69,61.74,61.74,61.74,61.74,61.74,56.8,56.8,56.8,56.8,56.8,51.88,51.88,51.88,51.88,51.88,46.97,46.97,46.97,46.97,46.97,42.09,42.09,42.09,42.09,42.09,37.26,37.26,37.26,37.26,37.26,32.5,32.5,32.5,32.5,32.5,27.8,27.8,27.8,27.8,27.8,23.24,23.24,23.24,23.24,23.24,18.91,18.91,18.91,18.91,18.91,14.94,14.94,14.94,14.94,14.94,11.4,11.4,11.4,11.4,11.4,8.39,8.39,8.39,8.39,8.39,6.05,6.05,6.05,6.05,6.05,4.31,4.31,4.31,4.31,4.31,3.08,3.08,3.08,3.08
2086,86.33,85.56,81.6,81.6,81.6,81.6,76.63,76.63,76.63,76.63,76.63,71.65,71.65,71.65,71.65,71.65,66.69,66.69,66.69,66.69,66.69,61.74,61.74,61.74,61.74,61.74,56.8,56.8,56.8,56.8,56.8,51.88,51.88,51.88,51.88,51.88,46.97,46.97,46.97,46.97,46.97,42.09,42.09,42.09,42.09,42.09,37.26,37.26,37.26,37.26,37.26,32.5,32.5,32.5,32.5,32.5,27.8,27.8,27.8,27.8,27.8,23.24,23.24,23.24,23.24,23.24,18.91,18.91,18.91,18.91,18.91,14.94,14.94,14.94,14.94,14.94,11.4,11.4,11.4,11.4,11.4,8.39,8.39,8.39,8.39,8.39,6.05,6.05,6.05,6.05,6.05,4.31,4.31,4.31,4.31,4.31,3.08,3.08,3.08,3.08
2087,86.33,85.56,81.6,81.6,81.6,81.6,76.63,76.63,76.63,76.63,76.63,71.65,71.65,71.65,71.65,71.65,66.69,66.69,66.69,66.69,66.69,61.74,61.74,61.74,61.74,61.74,56.8,56.8,56.8,56.8,56.8,51.88,51.88,51.88,51.88,51.88,46.97,46.97,46.97,46.97,46.97,42.09,42.09,42.09,42.09,42.09,37.26,37.26,37.26,37.26,37.26,32.5,32.5,32.5,32.5,32.5,27.8,27.8,27.8,27.8,27.8,23.24,23.24,23.24,23.24,23.24,18.91,18.91,18.91,18.91,18.91,14.94,14.94,14.94,14.94,14.94,11.4,11.4,11.4,11.4,11.4,8.39,8.39,8.39,8.39,8.39,6.05,6.05,6.05,6.05,6.05,4.31,4.31,4.31,4.31,4.31,3.08,3.08,3.08,3.08
2088,86.33,85.56,81.6,81.6,81.6,81.6,76.63,76.63,76.63,76.63,76.63,71.65,71.65,71.65,71.65,71.65,66.69,66.69,66.69,66.69,66.69,61.74,61.74,61.74,61.74,61.74,56.8,56.8,56.8,56.8,56.8,51.88,51.88,51.88,51.88,51.88,46.97,46.97,46.97,46.97,46.97,42.09,42.09,42.09,42.09,42.09,37.26,37.26,37.26,37.26,37.26,32.5,32.5,32.5,32.5,32.5,27.8,27.8,27.8,27.8,27.8,23.24,23.24,23.24,23.24,23.24,18.91,18.91,18.91,18.91,18.91,14.94,14.94,14.94,14.94,14.94,11.4,11.4,11.4,11.4,11.4,8.39,8.39,8.39,8.39,8.39,6.05,6.05,6.05,6.05,6.05,4.31,4.31,4.31,4.31,4.31,3.08,3.08,3.08,3.08
2089,86.33,85.56,81.6,81.6,81.6,81.6,76.63,76.63,76.63,76.63,76.63,71.65,71.65,71.65,71.65,71.65,66.69,66.69,66.69,66.69,66.69,61.74,61.74,61.74,61.74,61.74,56.8,56.8,56.8,56.8,56.8,51.88,51.88,51.88,51.88,51.88,46.97,46.97,46.97,46.97,46.97,42.09,42.09,42.09,42.09,42.09,37.26,37.26,37.26,37.26,37.26,32.5,32.5,32.5,32.5,32.5,27.8,27.8,27.8,27.8,27.8,23.24,23.24,23.24,23.24,23.24,18.91,18.91,18.91,18.91,18.91,14.94,14.94,14.94,14.94,14.94,11.4,11.4,11.4,11.4,11.4,8.39,8.39,8.39,8.39,8.39,6.05,6.05,6.05,6.05,6.05,4.31,4.31,4.31,4.31,4.31,3.08,3.08,3.08,3.08
2090,86.86,86.07,82.11,82.11,82.11,82.11,77.14,77.14,77.14,77.14,77.14,72.16,72.16,72.16,72.16,72.16,67.2,67.2,67.2,67.2,67.2,62.24,62.24,62.24,62.24,62.24,57.3,57.3,57.3,57.3,57.3,52.37,52.37,52.37,52.37,52.37,47.46,47.46,47.46,47.46,47.46,42.57,42.57,42.57,42.57,42.57,37.73,37.73,37.73,37.73,37.73,32.95,32.95,32.95,32.95,32.95,28.24,28.24,28.24,28.24,28.24,23.66,23.66,23.66,23.66,23.66,19.29,19.29,19.29,19.29,19.29,15.27,15.27,15.27,15.27,15.27,11.67,11.67,11.67,11.67,11.67,8.6,8.6,8.6,8.6,8.6,6.19,6.19,6.19,6.19,6.19,4.41,4.41,4.41,4.41,4.41,3.13,3.13,3.13,3.13
2091,86.86,86.07,82.11,82.11,82.11,82.11,77.14,77.14,77.14,77.14,77.14,72.16,72.16,72.16,72.16,72.16,67.2,67.2,67.2,67.2,67.2,62.24,62.24,62.24,62.24,62.24,57.3,57.3,57.3,57.3,57.3,52.37,52.37,52.37,52.37,52.37,47.46,47.46,47.46,47.46,47.46,42.57,42.57,42.57,42.57,42.57,37.73,37.73,37.73,37.73,37.73,32.95,32.95,32.95,32.95,32.95,28.24,28.24,28.24,28.24,28.24,23.66,23.66,23.66,23.66,23.66,19.29,19.29,19.29,19.29,19.29,15.27,15.27,15.27,15.27,15.27,11.67,11.67,11.67,11.67,11.67,8.6,8.6,8.6,8.6,8.6,6.19,6.19,6.19,6.19,6.19,4.41,4.41,4.41,4.41,4.41,3.13,3.13,3.13,3.13
2092,86.86,86.07,82.11,82.11,82.11,82.11,77.14,77.14,77.14,77.14,77.14,72.16,72.16,72.16,72.16,72.16,67.2,67.2,67.2,67.2,67.2,62.24,62.24,62.24,62.24,62.24,57.3,57.3,57.3,57.3,57.3,52.37,52.37,52.37,52.37,52.37,47.46,47.46,47.46,47.46,47.46,42.57,42.57,42.57,42.57,42.57,37.73,37.73,37.73,37.73,37.73,32.95,32.95,32.95,32.95,32.95,28.24,28.24,28.24,28.24,28.24,23.66,23.66,23.66,23.66,23.66,19.29,19.29,19.29,19.29,19.29,15.27,15.27,15.27,15.27,15.27,11.67,11.67,11.67,11.67,11.67,8.6,8.6,8.6,8.6,8.6,6.19,6.19,6.19,6.19,6.19,4.41,4.41,4.41,4.41,4.41,3.13,3.13,3.13,3.13
2093,86.86,86.07,82.11,82.11,82.11,82.11,77.14,77.14,77.14,77.14,77.14,72.16,72.16,72.16,72.16,72.16,67.2,67.2,67.2,67.2,67.2,62.24,62.24,62.24,62.24,62.24,57.3,57.3,57.3,57.3,57.3,52.37,52.37,52.37,52.37,52.37,47.46,47.46,47.46,47.46,47.46,42.57,42.57,42.57,42.57,42.57,37.73,37.73,37.73,37.73,37.73,32.95,32.95,32.95,32.95,32.95,28.24,28.24,28.24,28.24,28.24,23.66,23.66,23.66,23.66,23.66,19.29,19.29,19.29,19.29,19.29,15.27,15.27,15.27,15.27,15.27,11.67,11.67,11.67,11.67,11.67,8.6,8.6,8.6,8.6,8.6,6.19,6.19,6.19,6.19,6.19,4.41,4.41,4.41,4.41,4.41,3.13,3.13,3.13,3.13
2094,86.86,86.07,82.11,82.11,82.11,82.11,77.14,77.14,77.14,77.14,77.14,72.16,72.16,72.16,72.16,72.16,67.2,67.2,67.2,67.2,67.2,62.24,62.24,62.24,62.24,62.24,57.3,57.3,57.3,57.3,57.3,52.37,52.37,52.37,52.37,52.37,47.46,47.46,47.46,47.46,47.46,42.57,42.57,42.57,42.57,42.57,37.73,37.73,37.73,37.73,37.73,32.95,32.95,32.95,32.95,32.95,28.24,28.24,28.24,28.24,28.24,23.66,23.66,23.66,23.66,23.66,19.29,19.29,19.29,19.29,19.29,15.27,15.27,15.27,15.27,15.27,11.67,11.67,11.67,11.67,11.67,8.6,8.6,8.6,8.6,8.6,6.19,6.19,6.19,6.19,6.19,4.41,4.41,4.41,4.41,4.41,3.13,3.13,3.13,3.13
2095,87.4,86.61,82.64,82.64,82.64,82.64,77.67,77.67,77.67,77.67,77.67,72.69,72.69,72.69,72.69,72.69,67.72,67.72,67.72,67.72,67.72,62.77,62.77,62.77,62.77,62.77,57.82,57.82,57.82,57.82,57.82,52.89,52.89,52.89,52.89,52.89,47.97,47.97,47.97,47.97,47.97,43.07,43.07,43.07,43.07,43.07,38.22,38.22,38.22,38.22,38.22,33.43,33.43,33.43,33.43,33.43,28.7,28.7,28.7,28.7,28.7,24.09,24.09,24.09,24.09,24.09,19.69,19.69,19.69,19.69,19.69,15.62,15.62,15.62,15.62,15.62,11.96,11.96,11.96,11.96,11.96,8.83,8.83,8.83,8.83,8.83,6.36,6.36,6.36,6.36,6.36,4.51,4.51,4.51,4.51,4.51,3.18,3.18,3.18,3.18
2096,87.4,86.61,82.64,82.64,82.64,82.64,77.67,77.67,77.67,77.67,77.67,72.69,72.69,72.69,72.69,72.69,67.72,67.72,67.72,67.72,67.72,62.77,62.77,62.77,62.77,62.77,57.82,57.82,57.82,57.82,57.82,52.89,52.89,52.89,52.89,52.89,47.97,47.97,47.97,47.97,47.97,43.07,43.07,43.07,43.07,43.07,38.22,38.22,38.22,38.22,38.22,33.43,33.43,33.43,33.43,33.43,28.7,28.7,28.7,28.7,28.7,24.09,24.09,24.09,24.09,24.09,19.69,19.69,19.69,19.69,19.69,15.62,15.62,15.62,15.62,15.62,11.96,11.96,11.96,11.96,11.96,8.83,8.83,8.83,8.83,8.83,6.36,6.36,6.36,6.36,6.36,4.51,4.51,4.51,4.51,4.51,3.18,3.18,3.18,3.18
2097,87.4,86.61,82.64,82.64,82.64,82.64,77.67,77.67,77.67,77.67,77.67,72.69,72.69,72.69,72.69,72.69,67.72,67.72,67.72,67.72,67.72,62.77,62.77,62.77,62.77,62.77,57.82,57.82,57.82,57.82,57.82,52.89,52.89,52.89,52.89,52.89,47.97,47.97,47.97,47.97,47.97,43.07,43.07,43.07,43.07,43.07,38.22,38.22,38.22,38.22,38.22,33.43,33.43,33.43,33.43,33.43,28.7,28.7,28.7,28.7,28.7,24.09,24.09,24.09,24.09,24.09,19.69,19.69,19.69,19.69,19.69,15.62,15.62,15.62,15.62,15.62,11.96,11.96,11.96,11.96,11.96,8.83,8.83,8.83,8.83,8.83,6.36,6.36,6.36,6.36,6.36,4.51,4.51,4.51,4.51,4.51,3.18,3.18,3.18,3.18
2098,87.4,86.61,82.64,82.64,82.64,82.64,77.67,77.67,77.67,77.67,77.67,72.69,72.69,72.69,72.69,72.69,67.72,67.72,67.72,67.72,67.72,62.77,62.77,62.77,62.77,62.77,57.82,57.82,57.82,57.82,57.82,52.89,52.89,52.89,52.89,52.89,47.97,47.97,47.97,47.97,47.97,43.07,43.07,43.07,43.07,43.07,38.22,38.22,38.22,38.22,38.22,33.43,33.43,33.43,33.43,33.43,28.7,28.7,28.7,28.7,28.7,24.09,24.09,24.09,24.09,24.09,19.69,19.69,19.69,19.69,19.69,15.62,15.62,15.62,15.62,15.62,11.96,11.96,11.96,11.96,11.96,8.83,8.83,8.83,8.83,8.83,6.36,6.36,6.36,6.36,6.36,4.51,4.51,4.51,4.51,4.51,3.18,3.18,3.18,3.18
2099,87.4,86.61,82.64,82.64,82.64,82.64,77.67,77.67,77.67,77.67,77.67,72.69,72.69,72.69,72.69,72.69,67.72,67.72,67.72,67.72,67.72,62.77,62.77,62.77,62.77,62.77,57.82,57.82,57.82,57.82,57.82,52.89,52.89,52.89,52.89,52.89,47.97,47.97,47.97,47.97,47.97,43.07,43.07,43.07,43.07,43.07,38.22,38.22,38.22,38.22,38.22,33.43,33.43,33.43,33.43,33.43,28.7,28.7,28.7,28.7,28.7,24.09,24.09,24.09,24.09,24.09,19.69,19.69,19.69,19.69,19.69,15.62,15.62,15.62,15.62,15.62,11.96,11.96,11.96,11.96,11.96,8.83,8.83,8.83,8.83,8.83,6.36,6.36,6.36,6.36,6.36,4.51,4.51,4.51,4.51,4.51,3.18,3.18,3.18,3.18
