rmort,rmortTB,CDRscaleO,fchild,vchild,rchild,w,pchild,pelderly,padult,n,uiscaleC,relderly,radult,x,fadult,felderly,vadult,CDRscale,e,nelderly,velderly,uiscaleA,uiscaleE,neta,CDRscaleE,p0
-0.6,-0.908589556,0.500293097,0.141573251,0.000110492,0.005809529,0.012372012,0.0199669,0.300434669,0.143976487,0.177144845,1.388836488,0.010710434,0.005651821,0.298107394,0.743842141,0.726461127,0.000234832,0.467648556,0.721844081,0.105969787,0.002105618,0.357379364,0.713136872,2.544485567,0.033847337,1267142
-0.6,-0.908559378,0.23727977,0.14543821,0.000138296,0.005048967,0.01635044,0.026898385,0.257288353,0.171342651,0.21113139,1.447906699,0.006849624,0.005894631,0.358617116,0.735112644,0.726404708,0.000235088,0.392548256,0.673457083,0.144243257,0.00294224,0.23566647,0.438740283,2.127483629,-0.167649466,1267142
-0.6,-0.848281006,0.296288375,0.137972208,0.000153591,0.00660096,0.014630201,0.017268993,0.310490335,0.161701313,0.189864043,1.960599442,0.010990134,0.005078775,0.284691714,0.726398642,0.67404963,0.00023797,0.46118869,0.790893544,0.102008953,0.001178521,0.181080188,0.253974571,2.492462229,-0.043518456,1267142
-0.6,-0.927128403,0.134300518,0.146101055,0.000105093,0.00717043,0.012781741,0.023066236,0.235124561,0.197794956,0.2237754,1.796009362,0.021201156,0.006086591,0.317765128,0.732352284,0.666706504,0.000242799,0.355767203,0.668555649,0.107184563,0.00068804,0.3343536,0.52706297,1.854751784,-0.088536463,1267142
-0.6,-0.848281006,0.296288375,0.137972208,0.000153591,0.00660096,0.014630201,0.017268993,0.310490335,0.161701313,0.189864043,1.960599442,0.010990134,0.005078775,0.284691714,0.726398642,0.67404963,0.00023797,0.46118869,0.790893544,0.102008953,0.001178521,0.181080188,0.253974571,2.492462229,-0.043518456,1267142
-0.6,-0.848260782,0.060922422,0.14324529,0.00014956,0.006590365,0.009983508,0.02112466,0.235844514,0.176659677,0.196314469,1.733844506,0.00619771,0.005252278,0.263360149,0.723536284,0.698347938,0.000227322,0.420347588,0.706056846,0.104083248,0.003158366,0.210824329,0.293112846,2.159879606,-0.05389949,1267142
-0.6,-0.849743245,0.236709332,0.105085586,0.000147774,0.005436766,0.014333551,0.017836391,0.27865533,0.149643373,0.194192063,1.154516746,0.008389476,0.006298367,0.275256615,0.736563704,0.72754769,0.00023157,0.401789931,0.77394901,0.105984967,0.002401347,0.276824016,0.49450285,2.485186022,-0.061633915,1267142
-0.6,-0.925124843,0.259684563,0.136568778,0.000156364,0.005373411,0.016045113,0.023830918,0.247192418,0.157244386,0.17127616,1.260865919,0.008638844,0.005123374,0.295362155,0.735885502,0.727507136,0.00020935,0.455244494,0.689944421,0.107354364,0.002652208,0.605346037,0.829964686,2.333988211,-0.029142456,1267142
-0.6,-0.912808595,0.721010856,0.134945845,0.000119539,0.007173949,0.015252733,0.017303029,0.288513751,0.151785475,0.188637003,1.21589137,0.011931674,0.005771524,0.314986664,0.717578287,0.704278551,0.000271562,0.431254506,0.691356783,0.117958474,0.001678257,0.282191435,0.532833156,2.414474466,-0.070463638,1267142
-0.6,-0.920691314,0.528165092,0.122451413,0.000130123,0.005809364,0.013826669,0.023934791,0.260792042,0.165412487,0.186955947,1.291878889,0.005674852,0.005413625,0.273461,0.683017195,0.649078172,0.000215305,0.372979374,0.791321589,0.105904641,0.003139105,0.465108179,0.601105531,2.227217777,-0.116667343,1267142
-0.6,-0.809246747,-0.429950191,0.143481768,0.000189113,0.006893333,0.011677172,0.016887223,0.295832971,0.162652472,0.218307263,1.862917319,0.008152536,0.005504193,0.283277996,0.74857076,0.677998427,0.000197191,0.398707531,0.793605888,0.112547411,0.002425753,0.133751059,0.322063486,2.377336388,-0.141506829,1267142
-0.6,-0.894857361,-0.083872296,0.144119273,0.000124226,0.007060401,0.011527502,0.023847875,0.271479661,0.185943969,0.215546172,1.923784447,0.014693432,0.005340477,0.289038415,0.745784492,0.691364711,0.000230182,0.391029832,0.641885742,0.102747025,0.001610109,0.336706052,0.397209193,2.081745806,-0.000436279,1267142
